date,1. open,2. high,3. low,4. close,5. volume
2018-08-27 09:30:00,217.13,217.24,216.76,217.16,681679.0
2018-08-27 09:31:00,217.22,217.4799,217.22,217.295,171987.0
2018-08-27 09:32:00,217.33,217.5845,217.33,217.58,189810.0
2018-08-27 09:33:00,217.605,217.71,217.33,217.33,176442.0
2018-08-27 09:34:00,217.36,217.52,217.28,217.389,105930.0
2018-08-27 09:35:00,217.4,217.54,216.975,216.975,158137.0
2018-08-27 09:36:00,216.94,217.15,216.6408,216.671,174621.0
2018-08-27 09:37:00,216.6944,216.88,216.64,216.67,127033.0
2018-08-27 09:38:00,216.73,216.87,216.65,216.85,93198.0
2018-08-27 09:39:00,216.83,216.93,216.58,216.93,102918.0
2018-08-27 09:40:00,216.87,217.02,216.79,216.97,83786.0
2018-08-27 09:41:00,216.93,217.05,216.9,216.9689,77885.0
2018-08-27 09:42:00,216.88,216.94,216.82,216.85,48824.0
2018-08-27 09:43:00,216.8321,216.89,216.8,216.881,54723.0
2018-08-27 09:44:00,216.83,216.83,216.56,216.58,108278.0
2018-08-27 09:45:00,216.5,216.825,216.3614,216.825,143852.0
2018-08-27 09:46:00,216.82,216.91,216.7946,216.85,92163.0
2018-08-27 09:47:00,216.87,216.97,216.82,216.82,71677.0
2018-08-27 09:48:00,216.84,216.92,216.84,216.92,61510.0
2018-08-27 09:49:00,216.9112,216.979,216.87,216.89,76073.0
2018-08-27 09:50:00,216.87,216.87,216.665,216.68,103134.0
2018-08-27 09:51:00,216.72,216.72,216.49,216.49,69846.0
2018-08-27 09:52:00,216.47,216.56,216.34,216.51,116696.0
2018-08-27 09:53:00,216.5199,216.72,216.5199,216.69,76412.0
2018-08-27 09:54:00,216.69,216.7963,216.6,216.7963,71137.0
2018-08-27 09:55:00,216.83,216.876,216.78,216.86,43257.0
2018-08-27 09:56:00,216.89,216.89,216.8,216.85,50812.0
2018-08-27 09:57:00,216.85,216.89,216.82,216.89,66743.0
2018-08-27 09:58:00,216.9297,216.98,216.88,216.98,55737.0
2018-08-27 09:59:00,217.0,217.03,216.98,216.99,82770.0
2018-08-27 10:00:00,217.01,217.03,216.85,216.92,64916.0
2018-08-27 10:01:00,216.94,216.94,216.74,216.76,49022.0
2018-08-27 10:02:00,216.72,216.88,216.72,216.88,52940.0
2018-08-27 10:03:00,216.8911,216.9,216.7975,216.82,52828.0
2018-08-27 10:04:00,216.86,216.88,216.73,216.7919,42430.0
2018-08-27 10:05:00,216.75,216.8836,216.74,216.875,68247.0
2018-08-27 10:06:00,216.8775,216.8921,216.8,216.81,38462.0
2018-08-27 10:07:00,216.85,216.91,216.85,216.88,40760.0
2018-08-27 10:08:00,216.87,217.06,216.87,217.0,84945.0
2018-08-27 10:09:00,217.01,217.19,216.97,217.1348,110960.0
2018-08-27 10:10:00,217.16,217.25,217.1409,217.246,96412.0
2018-08-27 10:11:00,217.2287,217.26,217.18,217.26,70812.0
2018-08-27 10:12:00,217.21,217.38,217.17,217.38,101897.0
2018-08-27 10:13:00,217.35,217.38,217.2589,217.31,59869.0
2018-08-27 10:14:00,217.32,217.3869,217.32,217.35,53008.0
2018-08-27 10:15:00,217.36,217.499,217.36,217.49,70276.0
2018-08-27 10:16:00,217.45,217.5145,217.4,217.42,66495.0
2018-08-27 10:17:00,217.43,217.49,217.31,217.325,75612.0
2018-08-27 10:18:00,217.34,217.34,217.221,217.23,72293.0
2018-08-27 10:19:00,217.2,217.41,217.1619,217.38,61692.0
2018-08-27 10:20:00,217.37,217.4269,217.34,217.41,109278.0
