date,1. open,2. high,3. low,4. close,5. volume
2018-08-27 09:30:00,0.28,0.28,0.2401,0.2401,0.0
2018-08-27 10:25:00,0.245,0.245,0.245,0.245,265.0
2018-08-27 11:30:00,0.24,0.24,0.24,0.24,9119.0
2018-08-27 12:02:00,0.244,0.244,0.244,0.244,2000.0
2018-08-27 12:03:00,0.24,0.24,0.24,0.24,500.0
2018-08-27 12:39:00,0.244,0.244,0.244,0.244,2001.0
2018-08-27 13:30:00,0.2395,0.2395,0.2395,0.2395,163.0
2018-08-27 13:32:00,0.235,0.235,0.23,0.23,12000.0
2018-08-27 14:10:00,0.24,0.24,0.24,0.24,7219.0
2018-08-27 15:39:00,0.25,0.25,0.25,0.25,49896.0
2018-08-27 15:48:00,0.25,0.25,0.25,0.25,0.0
2018-08-28 09:54:00,0.28,0.28,0.28,0.28,125.0
2018-08-28 09:56:00,0.28,0.28,0.28,0.28,375.0
2018-08-28 10:39:00,0.25,0.25,0.25,0.25,5000.0
2018-08-28 11:38:00,0.25,0.25,0.25,0.25,13299.0
2018-08-28 13:25:00,0.2442,0.2442,0.2442,0.2442,1000.0
2018-08-28 14:14:00,0.25,0.25,0.25,0.25,5000.0
2018-08-28 14:23:00,0.25,0.25,0.25,0.25,102.0
2018-08-28 14:33:00,0.25,0.25,0.25,0.25,0.0
2018-08-29 13:15:00,0.223,0.223,0.223,0.223,1000.0
2018-08-29 13:26:00,0.25,0.25,0.25,0.25,800.0
2018-08-29 14:08:00,0.2365,0.2365,0.2221,0.2221,9000.0
2018-08-29 14:15:00,0.2221,0.2221,0.2221,0.2221,2500.0
2018-08-29 14:20:00,0.2355,0.2355,0.2355,0.2355,2000.0
2018-08-29 14:21:00,0.2221,0.2221,0.2221,0.2221,0.0
2018-08-30 09:31:00,0.249,0.249,0.249,0.249,400.0
2018-08-30 10:14:00,0.2365,0.2365,0.2365,0.2365,225.0
2018-08-30 10:16:00,0.224,0.224,0.224,0.224,2900.0
2018-08-30 10:17:00,0.222,0.222,0.222,0.222,5000.0
2018-08-30 10:46:00,0.2316,0.2316,0.225,0.225,4500.0
2018-08-30 11:04:00,0.23,0.23,0.23,0.23,4000.0
2018-08-30 12:23:00,0.25,0.25,0.25,0.25,4071.0
2018-08-30 12:24:00,0.25,0.25,0.25,0.25,3929.0
2018-08-30 12:58:00,0.2435,0.26,0.2435,0.26,6001.0
2018-08-30 14:34:00,0.25,0.25,0.25,0.25,2500.0
2018-08-30 14:50:00,0.25,0.25,0.25,0.25,0.0
2018-08-31 10:21:00,0.2444,0.2444,0.2444,0.2444,2000.0
