date,1. open,2. high,3. low,4. close,5. volume
2018-08-27 09:30:00,183.42,183.6,183.42,183.6,598261.0
2018-08-27 09:31:00,183.59,183.63,183.53,183.53,89776.0
2018-08-27 09:32:00,183.59,183.63,183.5699,183.5699,129537.0
2018-08-27 09:33:00,183.61,183.61,183.51,183.51,74163.0
2018-08-27 09:34:00,183.52,183.52,183.46,183.51,210103.0
2018-08-27 09:35:00,183.56,183.57,183.54,183.54,66854.0
2018-08-27 09:36:00,183.52,183.53,183.28,183.29,193067.0
2018-08-27 09:37:00,183.28,183.38,183.26,183.26,105638.0
2018-08-27 09:38:00,183.23,183.35,183.17,183.276,124104.0
2018-08-27 09:39:00,183.23,183.28,183.12,183.28,59157.0
2018-08-27 09:40:00,183.24,183.37,183.2,183.3,126055.0
2018-08-27 09:41:00,183.29,183.38,183.29,183.29,172232.0
2018-08-27 09:42:00,183.29,183.41,183.29,183.41,99621.0
2018-08-27 09:43:00,183.42,183.45,183.41,183.42,47538.0
2018-08-27 09:44:00,183.45,183.47,183.3767,183.3767,62139.0
2018-08-27 09:45:00,183.33,183.47,183.33,183.47,51953.0
2018-08-27 09:46:00,183.47,183.48,183.41,183.43,172804.0
2018-08-27 09:47:00,183.48,183.48,183.42,183.43,28102.0
2018-08-27 09:48:00,183.47,183.52,183.45,183.5,92840.0
2018-08-27 09:49:00,183.48,183.48,183.43,183.45,77062.0
2018-08-27 09:50:00,183.47,183.4801,183.42,183.42,70674.0
2018-08-27 09:51:00,183.43,183.43,183.3344,183.34,68061.0
2018-08-27 09:52:00,183.29,183.36,183.2601,183.36,79185.0
2018-08-27 09:53:00,183.36,183.435,183.35,183.435,67585.0
2018-08-27 09:54:00,183.4,183.48,183.3561,183.48,88386.0
2018-08-27 09:55:00,183.5,183.53,183.48,183.48,111083.0
2018-08-27 09:56:00,183.48,183.49,183.45,183.47,68859.0
2018-08-27 09:57:00,183.47,183.51,183.44,183.51,44592.0
2018-08-27 09:58:00,183.515,183.65,183.515,183.645,121639.0
2018-08-27 09:59:00,183.68,183.71,183.63,183.668,102221.0
2018-08-27 10:00:00,183.69,183.71,183.64,183.65,84344.0
2018-08-27 10:01:00,183.65,183.66,183.6001,183.64,92495.0
2018-08-27 10:02:00,183.66,183.77,183.66,183.77,59109.0
2018-08-27 10:03:00,183.77,183.82,183.74,183.82,135894.0
2018-08-27 10:04:00,183.83,183.83,183.75,183.75,82826.0
2018-08-27 10:05:00,183.7533,183.7921,183.7533,183.79,27147.0
2018-08-27 10:06:00,183.83,183.83,183.79,183.8,34804.0
2018-08-27 10:07:00,183.81,183.84,183.8,183.8,37314.0
2018-08-27 10:08:00,183.81,183.81,183.77,183.77,51469.0
2018-08-27 10:09:00,183.77,183.85,183.77,183.83,61714.0
2018-08-27 10:10:00,183.86,183.91,183.85,183.895,78043.0
2018-08-27 10:11:00,183.9,183.91,183.86,183.87,52784.0
2018-08-27 10:12:00,183.88,183.89,183.875,183.89,154949.0
2018-08-27 10:13:00,183.91,183.96,183.8975,183.95,87964.0
2018-08-27 10:14:00,183.97,183.98,183.95,183.96,67726.0
2018-08-27 10:15:00,183.96,184.02,183.96,184.0,103749.0
2018-08-27 10:16:00,183.99,184.01,183.94,183.94,39668.0
2018-08-27 10:17:00,183.97,183.97,183.94,183.94,17668.0
2018-08-27 10:18:00,183.94,183.98,183.94,183.96,47036.0
2018-08-27 10:19:00,183.98,184.0799,183.98,184.07,84362.0
2018-08-27 10:20:00,184.06,184.0801,184.06,184.0612,47018.0
2018-08-27 10:21:00,184.06,184.06,184.03,184.05,46273.0
2018-08-27 10:22:00,184.07,184.0985,184.05,184.08,74967.0
2018-08-27 10:23:00,184.1151,184.1151,184.1,184.1,16300.0
2018-08-27 10:24:00,184.1,184.19,184.1,184.19,69271.0
2018-08-27 10:25:00,184.19,184.2,184.1475,184.1475,72680.0
2018-08-27 10:26:00,184.17,184.17,184.15,184.169,53550.0
2018-08-27 10:27:00,184.17,184.19,184.16,184.16,109714.0
2018-08-27 10:28:00,184.14,184.15,184.14,184.15,32194.0
2018-08-27 10:29:00,184.15,184.18,184.12,184.18,57709.0
2018-08-27 10:30:00,184.16,184.16,184.09,184.1099,66241.0
2018-08-27 10:31:00,184.099,184.099,184.08,184.09,46971.0
2018-08-27 10:32:00,184.11,184.12,184.1,184.11,36195.0
2018-08-27 10:33:00,184.0873,184.1334,184.05,184.1334,123667.0
2018-08-27 10:34:00,184.13,184.2,184.13,184.15,98194.0
2018-08-27 10:35:00,184.16,184.19,184.11,184.11,66220.0
2018-08-27 10:36:00,184.1,184.12,184.04,184.04,72168.0
2018-08-27 10:37:00,184.03,184.05,184.01,184.025,68364.0
2018-08-27 10:38:00,184.0162,184.02,183.97,184.0,93778.0
2018-08-27 10:39:00,183.99,183.99,183.9221,183.98,92311.0
2018-08-27 10:40:00,183.98,184.04,183.98,184.03,95932.0
2018-08-27 10:41:00,184.0352,184.0566,184.03,184.0566,54776.0
2018-08-27 10:42:00,184.0732,184.0732,183.97,183.9715,58151.0
2018-08-27 10:43:00,183.98,184.0,183.98,183.9816,54835.0
2018-08-27 10:44:00,184.0001,184.04,183.99,184.04,41082.0
2018-08-27 10:45:00,184.06,184.13,184.06,184.11,30809.0
2018-08-27 10:46:00,184.11,184.12,184.0433,184.0433,97426.0
2018-08-27 10:47:00,184.09,184.09,184.04,184.04,35622.0
